,MI-3,MI-5,MA-1,CO-4,CO-7,IL-3,NJ-ALL,IA-9,IA-8,IA-15,IA-4,OH-8,IA-2
MI-3,1.0,Nan,-0.582534223368,Nan,0.382211053885,-0.201958379632,0.309761061916,0.147500992771,0.144838434094,0.306214173751,0.68539041569,-0.159993431508,0.416296224547
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,-0.582534223368,Nan,1.0,Nan,-0.226303800682,0.300711403005,0.111521340169,-0.202891787344,-0.155001274994,-0.409333513178,-0.339543632543,0.0232443903191,-0.288187798752
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.382211053885,Nan,-0.226303800682,Nan,1.0,-0.0867828581409,0.3416503162,-0.0223322035352,-0.0341708912657,0.00578867214352,0.398369707998,-0.225076419125,-0.0866888480257
IL-3,-0.201958379632,Nan,0.300711403005,Nan,-0.0867828581409,1.0,0.41954831425,-0.321901058601,-0.0992968564555,-0.21510930211,-0.167065367412,-0.180822114532,-0.326023210028
NJ-ALL,0.309761061916,Nan,0.111521340169,Nan,0.3416503162,0.41954831425,1.0,-0.19582628847,0.139803873487,0.184647758512,0.322210214169,0.0202518575686,-0.222877946368
IA-9,0.147500992771,Nan,-0.202891787344,Nan,-0.0223322035352,-0.321901058601,-0.19582628847,1.0,0.360347281294,0.453238399065,-0.0242962431138,0.0783163894571,0.315560110638
IA-8,0.144838434094,Nan,-0.155001274994,Nan,-0.0341708912657,-0.0992968564555,0.139803873487,0.360347281294,1.0,0.939205033595,-0.138474009117,0.368358487883,0.601090656053
IA-15,0.306214173751,Nan,-0.409333513178,Nan,0.00578867214352,-0.21510930211,0.184647758512,0.453238399065,0.939205033595,1.0,0.0531355098529,0.511342022477,0.396889704275
IA-4,0.68539041569,Nan,-0.339543632543,Nan,0.398369707998,-0.167065367412,0.322210214169,-0.0242962431138,-0.138474009117,0.0531355098529,1.0,-0.0681628165033,0.0170504616974
OH-8,-0.159993431508,Nan,0.0232443903191,Nan,-0.225076419125,-0.180822114532,0.0202518575686,0.0783163894571,0.368358487883,0.511342022477,-0.0681628165033,1.0,0.0658940695559
IA-2,0.416296224547,Nan,-0.288187798752,Nan,-0.0866888480257,-0.326023210028,-0.222877946368,0.315560110638,0.601090656053,0.396889704275,0.0170504616974,0.0658940695559,1.0
