,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,Nan,Nan,1.0,Nan,0.202942013147,0.151276951724,-0.120670223636,0.0668555686112,0.34200704366,0.378539238239,-0.123108898629,Nan,0.307320853948,Nan,Nan,0.126840679799,Nan,Nan,Nan,Nan,0.07456261706,0.037411049478,Nan
IL-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-9,Nan,Nan,0.202942013147,Nan,1.0,0.599387291505,0.191632935398,0.611508245048,0.560287292033,0.372151533741,0.182992356971,Nan,0.437024674814,Nan,Nan,-0.147489215976,Nan,Nan,Nan,Nan,0.618272118486,0.175332040796,Nan
IA-8,Nan,Nan,0.151276951724,Nan,0.599387291505,1.0,0.473856721727,0.426387248446,0.65737019288,0.475334230022,0.438146302272,Nan,0.566883149669,Nan,Nan,-0.315938133725,Nan,Nan,Nan,Nan,0.821463678619,0.18320282832,Nan
FL-7,Nan,Nan,-0.120670223636,Nan,0.191632935398,0.473856721727,1.0,0.357583561064,0.460454977681,0.181841186219,-0.0868712701286,Nan,-0.347722661773,Nan,Nan,-0.840551776573,Nan,Nan,Nan,Nan,0.789616514504,-0.344019128342,Nan
IA-4,Nan,Nan,0.0668555686112,Nan,0.611508245048,0.426387248446,0.357583561064,1.0,0.427641595418,0.55529935585,0.257983207496,Nan,0.497920037467,Nan,Nan,-0.151549824059,Nan,Nan,Nan,Nan,0.650992567672,-0.117480089498,Nan
IA-2,Nan,Nan,0.34200704366,Nan,0.560287292033,0.65737019288,0.460454977681,0.427641595418,1.0,0.807313763313,0.349861702615,Nan,0.724297944913,Nan,Nan,-0.100021419843,Nan,Nan,Nan,Nan,0.720314364487,0.459248292845,Nan
MA-1,Nan,Nan,0.378539238239,Nan,0.372151533741,0.475334230022,0.181841186219,0.55529935585,0.807313763313,1.0,0.267270981872,Nan,0.661394939604,Nan,Nan,0.094316250935,Nan,Nan,Nan,Nan,0.503141946484,0.195532952289,Nan
CA-2,Nan,Nan,-0.123108898629,Nan,0.182992356971,0.438146302272,-0.0868712701286,0.257983207496,0.349861702615,0.267270981872,1.0,Nan,-0.389262073007,Nan,Nan,-0.729486364161,Nan,Nan,Nan,Nan,0.139749004711,-0.343321374797,Nan
CA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NJ-ALL,Nan,Nan,0.307320853948,Nan,0.437024674814,0.566883149669,-0.347722661773,0.497920037467,0.724297944913,0.661394939604,-0.389262073007,Nan,1.0,Nan,Nan,0.274374943814,Nan,Nan,Nan,Nan,0.0934789255165,0.674469764311,Nan
MN-1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-3,Nan,Nan,0.126840679799,Nan,-0.147489215976,-0.315938133725,-0.840551776573,-0.151549824059,-0.100021419843,0.094316250935,-0.729486364161,Nan,0.274374943814,Nan,Nan,1.0,Nan,Nan,Nan,Nan,-0.522054084027,0.602863414495,Nan
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NY-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NC-3,Nan,Nan,0.07456261706,Nan,0.618272118486,0.821463678619,0.789616514504,0.650992567672,0.720314364487,0.503141946484,0.139749004711,Nan,0.0934789255165,Nan,Nan,-0.522054084027,Nan,Nan,Nan,Nan,1.0,-0.0503580367951,Nan
IA-15,Nan,Nan,0.037411049478,Nan,0.175332040796,0.18320282832,-0.344019128342,-0.117480089498,0.459248292845,0.195532952289,-0.343321374797,Nan,0.674469764311,Nan,Nan,0.602863414495,Nan,Nan,Nan,Nan,-0.0503580367951,1.0,Nan
OH-8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
