,MI-3,MI-5,ID-13,MA-1,CA-2,CO-4,CO-7,CA-4,NJ-ALL,IA-9,IA-8,MN-1,IA-15,IA-4,IL-2,IL-3,OH-8,IA-2
MI-3,1.0,0.907690429827,Nan,0.463705133325,Nan,0.239506690249,0.665372123486,-0.316732884816,0.657850621118,-0.0541038379151,0.239885032993,0.0157837620323,0.232636845568,Nan,Nan,-0.027220674282,-0.0715069140176,0.195067214042
MI-5,0.907690429827,1.0,Nan,0.43679517703,Nan,0.293711279381,0.572636718108,-0.268635887067,0.728019274218,-0.101529651896,0.0329699631458,-0.087688689505,0.196214898482,Nan,Nan,-0.13104290159,-0.209789287615,-0.0541267575126
ID-13,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MA-1,0.463705133325,0.43679517703,Nan,1.0,Nan,-0.10686590141,0.285882338238,-0.453432143097,0.23576614789,0.17782316173,0.626680873926,0.390070578303,0.378038336498,Nan,Nan,0.31160309027,0.358360976912,0.59447746537
CA-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-4,0.239506690249,0.293711279381,Nan,-0.10686590141,Nan,1.0,0.458899552008,0.28660916335,0.144154867811,-0.284261428484,-0.231076782834,-0.0505294922349,0.0275578258438,Nan,Nan,-0.158966878735,-0.0769122092846,-0.180864368478
CO-7,0.665372123486,0.572636718108,Nan,0.285882338238,Nan,0.458899552008,1.0,-0.208060062251,0.222070608331,-0.374553233882,0.276248262927,0.121546989297,0.0559749315327,Nan,Nan,0.179675279236,0.066435546969,0.068669086636
CA-4,-0.316732884816,-0.268635887067,Nan,-0.453432143097,Nan,0.28660916335,-0.208060062251,1.0,-0.517042207296,-0.491568277223,-0.594206065742,-0.60180220619,-0.323476560329,Nan,Nan,-0.242993819578,0.027491651225,-0.531675665766
NJ-ALL,0.657850621118,0.728019274218,Nan,0.23576614789,Nan,0.144154867811,0.222070608331,-0.517042207296,1.0,0.214049566303,0.0739191175667,-0.0687521822559,0.00750725929188,Nan,Nan,0.0156899340018,-0.352596679032,0.134806294576
IA-9,-0.0541038379151,-0.101529651896,Nan,0.17782316173,Nan,-0.284261428484,-0.374553233882,-0.491568277223,0.214049566303,1.0,0.421638988276,0.118783994551,0.30361568597,Nan,Nan,0.0228112205909,0.186301239038,0.22483811759
IA-8,0.239885032993,0.0329699631458,Nan,0.626680873926,Nan,-0.231076782834,0.276248262927,-0.594206065742,0.0739191175667,0.421638988276,1.0,0.513950218773,0.401663685231,Nan,Nan,0.426268740563,0.266171985278,0.660684075786
MN-1,0.0157837620323,-0.087688689505,Nan,0.390070578303,Nan,-0.0505294922349,0.121546989297,-0.60180220619,-0.0687521822559,0.118783994551,0.513950218773,1.0,0.470437382466,Nan,Nan,0.457520679596,0.221233488036,0.372086307609
IA-15,0.232636845568,0.196214898482,Nan,0.378038336498,Nan,0.0275578258438,0.0559749315327,-0.323476560329,0.00750725929188,0.30361568597,0.401663685231,0.470437382466,1.0,Nan,Nan,0.402481895388,0.406736112244,0.220073669483
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IL-3,-0.027220674282,-0.13104290159,Nan,0.31160309027,Nan,-0.158966878735,0.179675279236,-0.242993819578,0.0156899340018,0.0228112205909,0.426268740563,0.457520679596,0.402481895388,Nan,Nan,1.0,0.107527856257,0.211586100245
OH-8,-0.0715069140176,-0.209789287615,Nan,0.358360976912,Nan,-0.0769122092846,0.066435546969,0.027491651225,-0.352596679032,0.186301239038,0.266171985278,0.221233488036,0.406736112244,Nan,Nan,0.107527856257,1.0,0.388204625373
IA-2,0.195067214042,-0.0541267575126,Nan,0.59447746537,Nan,-0.180864368478,0.068669086636,-0.531675665766,0.134806294576,0.22483811759,0.660684075786,0.372086307609,0.220073669483,Nan,Nan,0.211586100245,0.388204625373,1.0
