"","BoardID","Date","Year","Resolution","Abundance","Date.decimal"
"911","CA-2",2009-01-31,2009,"Monthly",722,2009.08219178082
"913","CA-2",2009-02-28,2009,"Monthly",137,2009.15890410959
"915","CA-2",2009-03-31,2009,"Monthly",513,2009.24383561644
"917","CA-2",2009-04-30,2009,"Monthly",333,2009.32602739726
"919","CA-2",2009-05-31,2009,"Monthly",266,2009.41095890411
"922","CA-2",2009-06-30,2009,"Monthly",180,2009.49315068493
"925","CA-2",2009-07-31,2009,"Monthly",62,2009.57808219178
"928","CA-2",2009-08-31,2009,"Monthly",52,2009.66301369863
"931","CA-2",2009-09-30,2009,"Monthly",106,2009.74520547945
"934","CA-2",2009-10-31,2009,"Monthly",348,2009.8301369863
"935","CA-2",2009-11-30,2009,"Monthly",222,2009.91232876712
"936","CA-2",2009-12-31,2009,"Monthly",181,2009.99726027397
"937","CA-2",2010-01-31,2010,"Monthly",67,2010.08219178082
"938","CA-2",2010-02-28,2010,"Monthly",309,2010.15890410959
"939","CA-2",2010-03-31,2010,"Monthly",1046,2010.24383561644
"940","CA-2",2010-04-30,2010,"Monthly",1197,2010.32602739726
"941","CA-2",2010-05-31,2010,"Monthly",339,2010.41095890411
"943","CA-2",2010-06-30,2010,"Monthly",292,2010.49315068493
"945","CA-2",2010-07-31,2010,"Monthly",70,2010.57808219178
"947","CA-2",2010-08-31,2010,"Monthly",150,2010.66301369863
"949","CA-2",2010-09-30,2010,"Monthly",160,2010.74520547945
"951","CA-2",2010-10-31,2010,"Monthly",839,2010.8301369863
"953","CA-2",2010-11-30,2010,"Monthly",49,2010.91232876712
"955","CA-2",2010-12-31,2010,"Monthly",302,2010.99726027397
"957","CA-2",2011-01-31,2011,"Monthly",314,2011.08219178082
"959","CA-2",2011-02-28,2011,"Monthly",155,2011.15890410959
"961","CA-2",2011-03-31,2011,"Monthly",809,2011.24383561644
"963","CA-2",2011-04-30,2011,"Monthly",677,2011.32602739726
"965","CA-2",2011-05-31,2011,"Monthly",206,2011.41095890411
"968","CA-2",2011-06-30,2011,"Monthly",159,2011.49315068493
"971","CA-2",2011-07-31,2011,"Monthly",50,2011.57808219178
"974","CA-2",2011-08-31,2011,"Monthly",35,2011.66301369863
"977","CA-2",2011-09-30,2011,"Monthly",877,2011.74520547945
"980","CA-2",2011-10-31,2011,"Monthly",550,2011.8301369863
"982","CA-2",2011-11-30,2011,"Monthly",41,2011.91232876712
"984","CA-2",2011-12-31,2011,"Monthly",25,2011.99726027397
"986","CA-2",2012-01-31,2012,"Monthly",111,2012.08196721311
"988","CA-2",2012-02-29,2012,"Monthly",150,2012.16120218579
"990","CA-2",2012-03-31,2012,"Monthly",757,2012.24590163934
"992","CA-2",2012-04-30,2012,"Monthly",1578,2012.32786885246
"994","CA-2",2012-05-31,2012,"Monthly",1900,2012.41256830601
"997","CA-2",2012-06-30,2012,"Monthly",174,2012.49453551913
"1552","CA-4",2011-01-04,2011,"Weekly",0.02,2011.00821917808
"1554","CA-4",2011-01-11,2011,"Weekly",0.05,2011.02739726027
"1556","CA-4",2011-01-18,2011,"Weekly",0.07,2011.04657534247
"1558","CA-4",2011-01-25,2011,"Weekly",0.25,2011.06575342466
"1560","CA-4",2011-02-01,2011,"Weekly",0.33,2011.08493150685
"1562","CA-4",2011-02-08,2011,"Weekly",0.51,2011.10410958904
"1564","CA-4",2011-02-15,2011,"Weekly",0.59,2011.12328767123
"1566","CA-4",2011-02-22,2011,"Weekly",0.32,2011.14246575342
"1568","CA-4",2011-03-01,2011,"Weekly",0.23,2011.16164383562
"1570","CA-4",2011-03-08,2011,"Weekly",0.32,2011.18082191781
"1572","CA-4",2011-03-15,2011,"Weekly",0.47,2011.2
"1574","CA-4",2011-03-22,2011,"Weekly",0.41,2011.21917808219
"1576","CA-4",2011-03-29,2011,"Weekly",0.23,2011.23835616438
"1578","CA-4",2011-04-05,2011,"Weekly",0.32,2011.25753424658
"1580","CA-4",2011-04-12,2011,"Weekly",0.4,2011.27671232877
"1583","CA-4",2011-04-19,2011,"Weekly",0.52,2011.29589041096
"1586","CA-4",2011-04-26,2011,"Weekly",0.65,2011.31506849315
"1590","CA-4",2011-05-03,2011,"Weekly",0.69,2011.33424657534
"1596","CA-4",2011-05-10,2011,"Weekly",0.9,2011.35342465753
"1603","CA-4",2011-05-17,2011,"Weekly",0.76,2011.37260273973
"1611","CA-4",2011-05-24,2011,"Weekly",0.66,2011.39178082192
"1618","CA-4",2011-05-31,2011,"Weekly",0.72,2011.41095890411
"1633","CA-4",2011-06-07,2011,"Weekly",1.01,2011.4301369863
"1649","CA-4",2011-06-14,2011,"Weekly",1.26,2011.44931506849
"1667","CA-4",2011-06-21,2011,"Weekly",1.27,2011.46849315068
"1684","CA-4",2011-06-28,2011,"Weekly",1.44,2011.48767123288
"1700","CA-4",2011-07-05,2011,"Weekly",1.66,2011.50684931507
"1719","CA-4",2011-07-12,2011,"Weekly",1.9,2011.52602739726
"1739","CA-4",2011-07-19,2011,"Weekly",1.68,2011.54520547945
"1758","CA-4",2011-07-26,2011,"Weekly",1.38,2011.56438356164
"1777","CA-4",2011-08-02,2011,"Weekly",1.36,2011.58356164384
"1797","CA-4",2011-08-09,2011,"Weekly",0.97,2011.60273972603
"1816","CA-4",2011-08-16,2011,"Weekly",1.03,2011.62191780822
"1831","CA-4",2011-08-23,2011,"Weekly",1.34,2011.64109589041
"1849","CA-4",2011-08-30,2011,"Weekly",1.62,2011.6602739726
"1863","CA-4",2011-09-06,2011,"Weekly",1.71,2011.67945205479
"1878","CA-4",2011-09-13,2011,"Weekly",1.62,2011.69863013699
"1894","CA-4",2011-09-20,2011,"Weekly",1.8,2011.71780821918
"1908","CA-4",2011-09-27,2011,"Weekly",1.9,2011.73698630137
"1918","CA-4",2011-10-04,2011,"Weekly",1.91,2011.75616438356
"1925","CA-4",2011-10-11,2011,"Weekly",2.15,2011.77534246575
"1929","CA-4",2011-10-18,2011,"Weekly",2.03,2011.79452054795
"1933","CA-4",2011-10-25,2011,"Weekly",1.91,2011.81369863014
"1936","CA-4",2011-11-01,2011,"Weekly",2.13,2011.83287671233
"1939","CA-4",2011-11-08,2011,"Weekly",1.78,2011.85205479452
"1941","CA-4",2011-11-15,2011,"Weekly",1.06,2011.87123287671
"1943","CA-4",2011-11-22,2011,"Weekly",0.75,2011.8904109589
"1945","CA-4",2011-11-29,2011,"Weekly",0.58,2011.9095890411
"1947","CA-4",2011-12-06,2011,"Weekly",0.62,2011.92876712329
"1949","CA-4",2011-12-13,2011,"Weekly",0.52,2011.94794520548
"1951","CA-4",2011-12-20,2011,"Weekly",0.46,2011.96712328767
"1953","CA-4",2011-12-27,2011,"Weekly",0.09,2011.98630136986
"1955","CA-4",2012-01-04,2012,"Weekly",0.02,2012.00819672131
"1957","CA-4",2012-01-11,2012,"Weekly",0.02,2012.02732240437
"1959","CA-4",2012-01-18,2012,"Weekly",0.01,2012.04644808743
"1961","CA-4",2012-01-25,2012,"Weekly",0.04,2012.06557377049
"1963","CA-4",2012-02-01,2012,"Weekly",0.1,2012.08469945355
"1965","CA-4",2012-02-08,2012,"Weekly",0.11,2012.10382513661
"1967","CA-4",2012-02-15,2012,"Weekly",0.05,2012.12295081967
"1969","CA-4",2012-02-22,2012,"Weekly",0.05,2012.14207650273
"1971","CA-4",2012-02-29,2012,"Weekly",0.09,2012.16120218579
"1973","CA-4",2012-03-07,2012,"Weekly",0.08,2012.18032786885
"1975","CA-4",2012-03-14,2012,"Weekly",0.08,2012.19945355191
"1977","CA-4",2012-03-21,2012,"Weekly",0.1,2012.21857923497
"1979","CA-4",2012-03-28,2012,"Weekly",0.07,2012.23770491803
"1981","CA-4",2012-04-04,2012,"Weekly",0.04,2012.25683060109
"1983","CA-4",2012-04-11,2012,"Weekly",0.03,2012.27595628415
"1985","CA-4",2012-04-18,2012,"Weekly",0.03,2012.29508196721
"1987","CA-4",2012-04-25,2012,"Weekly",0.07,2012.31420765027
"1990","CA-4",2012-05-02,2012,"Weekly",0.13,2012.33333333333
"1995","CA-4",2012-05-09,2012,"Weekly",0.21,2012.35245901639
"2002","CA-4",2012-05-16,2012,"Weekly",0.23,2012.37158469945
"2010","CA-4",2012-05-23,2012,"Weekly",0.24,2012.39071038251
"2020","CA-4",2012-05-30,2012,"Weekly",0.18,2012.40983606557
"2035","CA-4",2012-06-06,2012,"Weekly",0.22,2012.42896174863
"2050","CA-4",2012-06-13,2012,"Weekly",0.43,2012.44808743169
"2069","CA-4",2012-06-20,2012,"Weekly",0.5,2012.46721311475
"2086","CA-4",2012-06-27,2012,"Weekly",0.34,2012.48633879781
"2106","CA-4",2012-07-04,2012,"Weekly",0.16,2012.50546448087
"2124","CA-4",2012-07-11,2012,"Weekly",0.29,2012.52459016393
"2145","CA-4",2012-07-18,2012,"Weekly",0.29,2012.54371584699
"2166","CA-4",2012-07-25,2012,"Weekly",0.25,2012.56284153005
"2188","CA-4",2012-08-01,2012,"Weekly",0.26,2012.58196721311
"2208","CA-4",2012-08-08,2012,"Weekly",0.23,2012.60109289617
"2228","CA-4",2012-08-15,2012,"Weekly",0.35,2012.62021857923
"2248","CA-4",2012-08-22,2012,"Weekly",0.34,2012.6393442623
"2269","CA-4",2012-08-29,2012,"Weekly",0.34,2012.65846994536
"2287","CA-4",2012-09-05,2012,"Weekly",0.43,2012.67759562842
"2304","CA-4",2012-09-12,2012,"Weekly",0.49,2012.69672131148
"2319","CA-4",2012-09-19,2012,"Weekly",0.46,2012.71584699454
"2333","CA-4",2012-09-26,2012,"Weekly",0.4,2012.7349726776
"2343","CA-4",2012-10-03,2012,"Weekly",0.5,2012.75409836066
"2352","CA-4",2012-10-10,2012,"Weekly",0.38,2012.77322404372
"2356","CA-4",2012-10-17,2012,"Weekly",0.32,2012.79234972678
"2360","CA-4",2012-10-24,2012,"Weekly",0.41,2012.81147540984
"2364","CA-4",2012-10-31,2012,"Weekly",0.46,2012.8306010929
"2368","CA-4",2012-11-07,2012,"Weekly",0.8,2012.84972677596
"2370","CA-4",2012-11-14,2012,"Weekly",0.56,2012.86885245902
"2372","CA-4",2012-11-21,2012,"Weekly",0.22,2012.88797814208
"2374","CA-4",2012-11-28,2012,"Weekly",0.18,2012.90710382514
"2376","CA-4",2012-12-05,2012,"Weekly",0.13,2012.9262295082
"2378","CA-4",2012-12-12,2012,"Weekly",0.11,2012.94535519126
"2380","CA-4",2012-12-19,2012,"Weekly",0.1,2012.96448087432
"2382","CA-4",2012-12-26,2012,"Weekly",0.08,2012.98360655738
"2384","CA-4",2013-01-02,2013,"Weekly",0.02,2013.00273972603
"2386","CA-4",2013-01-09,2013,"Weekly",0.04,2013.02191780822
"2388","CA-4",2013-01-16,2013,"Weekly",0.01,2013.04109589041
"2390","CA-4",2013-01-23,2013,"Weekly",0,2013.0602739726
"2392","CA-4",2013-01-30,2013,"Weekly",0.03,2013.07945205479
"2394","CA-4",2013-02-06,2013,"Weekly",0.06,2013.09863013699
"2396","CA-4",2013-02-13,2013,"Weekly",0.05,2013.11780821918
"2398","CA-4",2013-02-20,2013,"Weekly",0.11,2013.13698630137
"2400","CA-4",2013-02-27,2013,"Weekly",0.12,2013.15616438356
"2402","CA-4",2013-03-06,2013,"Weekly",0.12,2013.17534246575
"2404","CA-4",2013-03-13,2013,"Weekly",0.11,2013.19452054795
"2406","CA-4",2013-03-20,2013,"Weekly",0.08,2013.21369863014
"2408","CA-4",2013-03-27,2013,"Weekly",0.09,2013.23287671233
"2410","CA-4",2013-04-03,2013,"Weekly",0.09,2013.25205479452
"2412","CA-4",2013-04-10,2013,"Weekly",0.2,2013.27123287671
"2414","CA-4",2013-04-17,2013,"Weekly",0.27,2013.2904109589
"2416","CA-4",2013-04-24,2013,"Weekly",0.41,2013.3095890411
"2418","CA-4",2013-05-01,2013,"Weekly",0.47,2013.32876712329
"2422","CA-4",2013-05-08,2013,"Weekly",0.35,2013.34794520548
"2430","CA-4",2013-05-15,2013,"Weekly",0.14,2013.36712328767
"2440","CA-4",2013-05-22,2013,"Weekly",0.1,2013.38630136986
"2450","CA-4",2013-05-29,2013,"Weekly",0.23,2013.40547945205
