"","BoardID","Date","Genus","Year","Resolution","Abundance","Date.decimal"
"904","CA-2",2009-01-31,"Culex",2009,"Monthly",722,2009.08219178082
"905","CA-2",2009-02-28,"Culex",2009,"Monthly",137,2009.15890410959
"906","CA-2",2009-03-31,"Culex",2009,"Monthly",513,2009.24383561644
"907","CA-2",2009-04-30,"Culex",2009,"Monthly",333,2009.32602739726
"908","CA-2",2009-05-31,"Culex",2009,"Monthly",266,2009.41095890411
"910","CA-2",2009-06-30,"Culex",2009,"Monthly",180,2009.49315068493
"912","CA-2",2009-07-31,"Culex",2009,"Monthly",62,2009.57808219178
"914","CA-2",2009-08-31,"Culex",2009,"Monthly",52,2009.66301369863
"916","CA-2",2009-09-30,"Culex",2009,"Monthly",106,2009.74520547945
"918","CA-2",2009-10-31,"Culex",2009,"Monthly",348,2009.8301369863
"919","CA-2",2009-11-30,"Culex",2009,"Monthly",222,2009.91232876712
"920","CA-2",2009-12-31,"Culex",2009,"Monthly",181,2009.99726027397
"921","CA-2",2010-01-31,"Culex",2010,"Monthly",67,2010.08219178082
"922","CA-2",2010-02-28,"Culex",2010,"Monthly",309,2010.15890410959
"923","CA-2",2010-03-31,"Culex",2010,"Monthly",1046,2010.24383561644
"924","CA-2",2010-04-30,"Culex",2010,"Monthly",1197,2010.32602739726
"925","CA-2",2010-05-31,"Culex",2010,"Monthly",339,2010.41095890411
"927","CA-2",2010-06-30,"Culex",2010,"Monthly",292,2010.49315068493
"929","CA-2",2010-07-31,"Culex",2010,"Monthly",70,2010.57808219178
"931","CA-2",2010-08-31,"Culex",2010,"Monthly",150,2010.66301369863
"933","CA-2",2010-09-30,"Culex",2010,"Monthly",160,2010.74520547945
"935","CA-2",2010-10-31,"Culex",2010,"Monthly",839,2010.8301369863
"936","CA-2",2010-11-30,"Culex",2010,"Monthly",49,2010.91232876712
"937","CA-2",2010-12-31,"Culex",2010,"Monthly",302,2010.99726027397
"938","CA-2",2011-01-31,"Culex",2011,"Monthly",314,2011.08219178082
"939","CA-2",2011-02-28,"Culex",2011,"Monthly",155,2011.15890410959
"940","CA-2",2011-03-31,"Culex",2011,"Monthly",809,2011.24383561644
"941","CA-2",2011-04-30,"Culex",2011,"Monthly",677,2011.32602739726
"942","CA-2",2011-05-31,"Culex",2011,"Monthly",206,2011.41095890411
